STATcube,,,,
,,,,
Age-standardized death rate in Austria by calendar week (excl. abroad) from 2000 (Q),,,,
"Calendar week by Province (NUTS 2 unit) of deceased, Gender of deceased and Values",,,,
"Counting: Number of deaths, Age-standardized death rate in parts per thousand",,,,
,,,,
Province (NUTS 2 unit) of deceased,Austria,,,
Gender of deceased,total,,,
Values,Number of deaths,Number of deaths - Annotations,Age-standardized death rate in parts per thousand,Age-standardized death rate in parts per thousand - Annotations
Calendar week,,,,
1. Calendar week 2020 (week from 30.12.2019 to 5.1.2020),1610,,0.178,
2. Calendar week 2020 (week from 6.1.2020 to 12.1.2020),1702,,0.189,
3. Calendar week 2020 (week from 13.1.2020 to 19.1.2020),1797,,0.2,
4. Calendar week 2020 (week from 20.1.2020 to 26.1.2020),1779,,0.197,
5. Calendar week 2020 (week from 27.1.2020 to 2.2.2020),1947,,0.216,
6. Calendar week 2020 (week from 3.2.2020 to 9.2.2020),1680,,0.186,
7. Calendar week 2020 (week from 10.2.2020 to 16.2.2020),1721,,0.191,
8. Calendar week 2020 (week from 17.2.2020 to 23.2.2020),1719,,0.19,
9. Calendar week 2020 (week from 24.2.2020 to 1.3.2020),1768,,0.196,
10. Calendar week 2020 (week from 2.3.2020 to 8.3.2020),1744,,0.193,
11. Calendar week 2020 (week from 9.3.2020 to 15.3.2020),1718,,0.191,
12. Calendar week 2020 (week from 16.3.2020 to 22.3.2020),1836,,0.203,
13. Calendar week 2020 (week from 23.3.2020 to 29.3.2020),1764,,0.195,
14. Calendar week 2020 (week from 30.3.2020 to 5.4.2020),1828,,0.202,
15. Calendar week 2020 (week from 6.4.2020 to 12.4.2020),1793,,0.199,
16. Calendar week 2020 (week from 13.4.2020 to 19.4.2020),1704,,0.189,
17. Calendar week 2020 (week from 20.4.2020 to 26.4.2020),1588,,0.176,
18. Calendar week 2020 (week from 27.4.2020 to 3.5.2020),1480,,0.164,
19. Calendar week 2020 (week from 4.5.2020 to 10.5.2020),1520,,0.168,
20. Calendar week 2020 (week from 11.5.2020 to 17.5.2020),1489,,0.165,
21. Calendar week 2020 (week from 18.5.2020 to 24.5.2020),1481,,0.164,
22. Calendar week 2020 (week from 25.5.2020 to 31.5.2020),1414,,0.156,
23. Calendar week 2020 (week from 1.6.2020 to 7.6.2020),1490,,0.165,
24. Calendar week 2020 (week from 8.6.2020 to 14.6.2020),1461,,0.162,
25. Calendar week 2020 (week from 15.6.2020 to 21.6.2020),1413,,0.156,
26. Calendar week 2020 (week from 22.6.2020 to 28.6.2020),1437,,0.159,
27. Calendar week 2020 (week from 29.6.2020 to 5.7.2020),1559,,0.173,
28. Calendar week 2020 (week from 6.7.2020 to 12.7.2020),1383,,0.153,
29. Calendar week 2020 (week from 13.7.2020 to 19.7.2020),1443,,0.16,
30. Calendar week 2020 (week from 20.7.2020 to 26.7.2020),1452,,0.16,
31. Calendar week 2020 (week from 27.7.2020 to 2.8.2020),1525,,0.169,
32. Calendar week 2020 (week from 3.8.2020 to 9.8.2020),1431,,0.158,
33. Calendar week 2020 (week from 10.8.2020 to 16.8.2020),1604,,0.178,
34. Calendar week 2020 (week from 17.8.2020 to 23.8.2020),1472,,0.163,
35. Calendar week 2020 (week from 24.8.2020 to 30.8.2020),1493,,0.165,
36. Calendar week 2020 (week from 31.8.2020 to 6.9.2020),1512,,0.167,
1. Calendar week 2015 (week from 29.12.2014 to 4.1.2015),1704,,0.206,
1. Calendar week 2016 (week from 4.1.2016 to 10.1.2016),1634,,0.193,
2. Calendar week 2016 (week from 11.1.2016 to 17.1.2016),1626,,0.192,
3. Calendar week 2016 (week from 18.1.2016 to 24.1.2016),1608,,0.19,
4. Calendar week 2016 (week from 25.1.2016 to 31.1.2016),1578,,0.187,
5. Calendar week 2016 (week from 1.2.2016 to 7.2.2016),1609,,0.191,
6. Calendar week 2016 (week from 8.2.2016 to 14.2.2016),1650,,0.195,
7. Calendar week 2016 (week from 15.2.2016 to 21.2.2016),1621,,0.192,
8. Calendar week 2016 (week from 22.2.2016 to 28.2.2016),1581,,0.187,
9. Calendar week 2016 (week from 29.2.2016 to 6.3.2016),1714,,0.203,
10. Calendar week 2016 (week from 7.3.2016 to 13.3.2016),1532,,0.181,
11. Calendar week 2016 (week from 14.3.2016 to 20.3.2016),1516,,0.179,
12. Calendar week 2016 (week from 21.3.2016 to 27.3.2016),1499,,0.177,
13. Calendar week 2016 (week from 28.3.2016 to 3.4.2016),1598,,0.189,
14. Calendar week 2016 (week from 4.4.2016 to 10.4.2016),1562,,0.184,
15. Calendar week 2016 (week from 11.4.2016 to 17.4.2016),1520,,0.179,
16. Calendar week 2016 (week from 18.4.2016 to 24.4.2016),1413,,0.166,
17. Calendar week 2016 (week from 25.4.2016 to 1.5.2016),1460,,0.172,
18. Calendar week 2016 (week from 2.5.2016 to 8.5.2016),1447,,0.171,
19. Calendar week 2016 (week from 9.5.2016 to 15.5.2016),1486,,0.176,
20. Calendar week 2016 (week from 16.5.2016 to 22.5.2016),1453,,0.171,
21. Calendar week 2016 (week from 23.5.2016 to 29.5.2016),1505,,0.178,
22. Calendar week 2016 (week from 30.5.2016 to 5.6.2016),1402,,0.165,
23. Calendar week 2016 (week from 6.6.2016 to 12.6.2016),1360,,0.16,
24. Calendar week 2016 (week from 13.6.2016 to 19.6.2016),1348,,0.16,
25. Calendar week 2016 (week from 20.6.2016 to 26.6.2016),1452,,0.171,
26. Calendar week 2016 (week from 27.6.2016 to 3.7.2016),1338,,0.158,
27. Calendar week 2016 (week from 4.7.2016 to 10.7.2016),1328,,0.156,
28. Calendar week 2016 (week from 11.7.2016 to 17.7.2016),1323,,0.157,
29. Calendar week 2016 (week from 18.7.2016 to 24.7.2016),1458,,0.172,
30. Calendar week 2016 (week from 25.7.2016 to 31.7.2016),1424,,0.168,
31. Calendar week 2016 (week from 1.8.2016 to 7.8.2016),1390,,0.165,
32. Calendar week 2016 (week from 8.8.2016 to 14.8.2016),1359,,0.161,
33. Calendar week 2016 (week from 15.8.2016 to 21.8.2016),1394,,0.164,
34. Calendar week 2016 (week from 22.8.2016 to 28.8.2016),1408,,0.166,
35. Calendar week 2016 (week from 29.8.2016 to 4.9.2016),1414,,0.167,
36. Calendar week 2016 (week from 5.9.2016 to 11.9.2016),1380,,0.162,
37. Calendar week 2016 (week from 12.9.2016 to 18.9.2016),1392,,0.164,
38. Calendar week 2016 (week from 19.9.2016 to 25.9.2016),1376,,0.162,
39. Calendar week 2016 (week from 26.9.2016 to 2.10.2016),1442,,0.17,
40. Calendar week 2016 (week from 3.10.2016 to 9.10.2016),1469,,0.174,
41. Calendar week 2016 (week from 10.10.2016 to 16.10.2016),1556,,0.184,
42. Calendar week 2016 (week from 17.10.2016 to 23.10.2016),1607,,0.19,
43. Calendar week 2016 (week from 24.10.2016 to 30.10.2016),1522,,0.179,
44. Calendar week 2016 (week from 31.10.2016 to 6.11.2016),1484,,0.175,
45. Calendar week 2016 (week from 7.11.2016 to 13.11.2016),1541,,0.182,
46. Calendar week 2016 (week from 14.11.2016 to 20.11.2016),1616,,0.192,
47. Calendar week 2016 (week from 21.11.2016 to 27.11.2016),1550,,0.183,
48. Calendar week 2016 (week from 28.11.2016 to 4.12.2016),1601,,0.189,
49. Calendar week 2016 (week from 5.12.2016 to 11.12.2016),1619,,0.191,
50. Calendar week 2016 (week from 12.12.2016 to 18.12.2016),1670,,0.197,
51. Calendar week 2016 (week from 19.12.2016 to 25.12.2016),1847,,0.218,
52. Calendar week 2016 (week from 26.12.2016 to 1.1.2017),2160,,0.256,
2. Calendar week 2015 (week from 5.1.2015 to 11.1.2015),1768,,0.214,
3. Calendar week 2015 (week from 12.1.2015 to 18.1.2015),1837,,0.223,
4. Calendar week 2015 (week from 19.1.2015 to 25.1.2015),1792,,0.217,
5. Calendar week 2015 (week from 26.1.2015 to 1.2.2015),1837,,0.222,
6. Calendar week 2015 (week from 2.2.2015 to 8.2.2015),1926,,0.233,
