"Table 2: Weekly death registrations, Scotland, 1974 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Number,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Week Number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01,906,"1,577","1,308","1,514","1,389","1,541","1,502","1,268","1,898","1,545","1,265","1,303","1,557","1,239","1,621","1,457","1,784","1,375","1,256","1,556","1,514","1,318","1,845","1,483","1,178","1,838","2,275","1,308","1,256","1,177","1,242","1,244","1,246","1,345","1,164","1,245","1,516","1,344","1,184","1,201","1,090","1,146","1,394","1,205","1,531","1,104","1,161",W01
W02,"1,425","1,612","1,555","1,370","1,353","1,618","1,476","1,657","1,834","1,511","1,353","1,346","1,924","1,673","1,361","1,352","1,551","1,467","1,473","1,482","1,457","1,333","1,728","1,911","1,655","1,525","1,930","1,270","1,417","1,570","1,857","1,308","1,297","1,517","1,334","1,844","1,387","1,372","1,298","1,425","1,313","1,708","1,305","1,379","1,899","1,507","1,567",W02
W03,"1,432","1,437","1,311","1,337","1,405","1,469","1,326","1,317","1,657","1,403","1,390","1,451","1,660","1,371","1,261","1,270","1,303","1,291","1,367","1,369","1,335","1,304","1,396","1,712","1,222","1,541","1,587","1,319","1,280","1,354","1,306","1,181","1,229","1,452","1,292","1,333","1,202","1,244","1,106","1,265","1,189","1,489","1,215","1,224","1,629","1,353","1,322",W03
W04,"1,345","1,432","1,286","1,314","1,473","1,494","1,446","1,442","1,513","1,301","1,388","1,441","1,625","1,354","1,347","1,226","1,332","1,315","1,274","1,346","1,279","1,207","1,308","1,460","1,168","1,515","1,329","1,244","1,207","1,296","1,282","1,204","1,068","1,271","1,180","1,241","1,132","1,143","1,075","1,212","1,137","1,381","1,187","1,197","1,610","1,208","1,226",W04
W05,"1,368","1,435","1,319","1,335","1,425","1,408","1,347","1,325","1,481","1,331","1,405","1,460","1,610","1,260","1,277","1,229","1,344","1,272","1,321","1,198","1,228","1,228","1,244","1,388","1,144","1,493","1,205","1,205","1,236","1,256","1,146","1,168","1,081","1,252","1,123","1,176","1,126","1,099","1,085","1,282","1,054","1,286","1,205","1,332","1,369","1,206","1,188",W05
W06,"1,292","1,320","1,481","1,305","1,414","1,513","1,390","1,253","1,382","1,407","1,317","1,283","1,466","1,310","1,231","1,238","1,210","1,231","1,354","1,192","1,232","1,266","1,238","1,257","1,235","1,440","1,130","1,200","1,226","1,236","1,208","1,185","1,113","1,134","1,195","1,090","1,129","1,012","1,059","1,194","1,107","1,344","1,217","1,200","1,265","1,243","1,216",W06
W07,"1,376","1,397","1,477","1,311","1,501","1,471","1,316","1,296","1,451","1,399","1,287","1,335","1,436","1,305","1,217","1,218","1,241","1,372","1,335","1,260","1,178","1,256","1,234","1,276","1,209","1,408","1,148","1,217","1,203","1,224","1,110","1,218","1,112","1,178","1,131","1,183","1,104","1,089","1,063","1,113","1,073","1,360","1,209","1,231","1,315","1,181","1,162",W07
W08,"1,315","1,261","1,645","1,343","1,684","1,467","1,248","1,327","1,514","1,429","1,255","1,400","1,490","1,351","1,245","1,209","1,199","1,303","1,259","1,263","1,233","1,203","1,225","1,288","1,281","1,334","1,135","1,125","1,178","1,188","1,097","1,185","1,074","1,184","1,078","1,122","1,122","1,118","1,121","1,228","1,081","1,320","1,239","1,185","1,245","1,245","1,162",W08
W09,"1,289","1,330","1,760","1,291","1,780","1,417","1,224","1,397","1,447","1,519","1,280","1,363","1,372","1,232","1,209","1,287","1,270","1,283","1,282","1,260","1,271","1,204","1,166","1,252","1,159","1,244","1,131","1,138","1,184","1,202","1,082","1,209","1,098","1,085","1,085","1,104","1,136","1,021","1,091","1,108","1,057","1,308","1,150","1,219","1,022","1,125","1,171",W09
W10,"1,305","1,361","1,770","1,300","1,620","1,350","1,201","1,437","1,523","1,526","1,286","1,417","1,421","1,375","1,216","1,229","1,194","1,258","1,172","1,326","1,167","1,224","1,129","1,146","1,259","1,283","1,146","1,230","1,209","1,178","1,083","1,255","1,188","1,154","1,118","1,114","1,079","1,030","1,034","1,131","1,044","1,192","1,174","1,146","1,475","1,156","1,208",W10
W11,"1,346","1,269","1,687","1,296","1,445","1,387","1,242","1,369","1,427","1,369","1,305","1,349","1,287","1,272","1,286","1,271","1,141","1,253","1,175","1,315","1,189","1,250","1,138","1,139","1,262","1,195","1,032","1,164","1,172","1,150","1,123","1,303","1,101","1,075","1,164","1,059","1,020","1,034","1,063","1,120","1,101","1,201","1,175","1,141","1,220","1,108","1,198",W11
W12,"1,397","1,301","1,626","1,315","1,196","1,327","1,251","1,306","1,328","1,275","1,305","1,369","1,242","1,312","1,228","1,130","1,157","1,297","1,257","1,272","1,144","1,257","1,139","1,115","1,220","1,126","1,042","1,165","1,195","1,098","1,155","1,138","1,084","1,089","1,017",990,"1,064","1,113","1,037","1,118",997,"1,149","1,042","1,152","1,158","1,101","1,196",W12
W13,"1,297","1,258","1,591","1,247","1,455","1,348","1,419","1,407","1,322","1,168","1,388","1,391","1,168","1,336","1,113","1,315","1,208","1,043","1,120","1,314","1,096","1,233","1,170","1,009","1,223",988,"1,082","1,208",976,"1,089","1,096","1,221","1,189","1,086","1,184","1,009",926,"1,100","1,004","1,028","1,037","1,171","1,172","1,112","1,050","1,086","1,079",W13
W14,"1,335","1,349","1,488","1,263","1,255","1,318","1,232","1,211","1,169","1,432","1,389","1,320","1,272","1,249","1,350","1,173","1,208","1,241","1,209","1,211","1,210","1,222","1,085","1,135","1,208","1,201","1,062","1,092","1,190","1,140","1,131","1,104","1,224",950,"1,129","1,018","1,145","1,033",957,"1,227","1,018","1,042","1,166","1,060","1,192","1,032","1,744",W14
W15,"1,266","1,256","1,392","1,407","1,288","1,205","1,455","1,215","1,338","1,234","1,360","1,347","1,193","1,227","1,240","1,239","1,126","1,209","1,265","1,317","1,159","1,093","1,292","1,107","1,171","1,080","1,029",994,"1,086","1,143","1,027","1,079","1,018","1,154","1,146","1,003","1,032","1,009","1,098","1,176","1,071","1,192","1,048",998,"1,192","1,069","1,978",W15
W16,"1,411","1,327","1,204","1,391","1,225","1,326","1,315","1,042","1,219","1,226","1,250","1,227","1,258","1,029","1,224","1,199","1,348","1,250","1,006","1,282","1,138","1,233","1,085","1,050","1,341","1,145","1,019","1,185","1,101",941,"1,140","1,078","1,246","1,067","1,115","1,068","1,014",877,"1,145","1,139",963,"1,095","1,092","1,111","1,136",902,"1,916",W16
W17,"1,254","1,228","1,284","1,296","1,274","1,201","1,287","1,284","1,178","1,271","1,396","1,197","1,240","1,316","1,178","1,190","1,171","1,162","1,224","1,165","1,158","1,155","1,110","1,066","1,181","1,001","1,180","1,159","1,100","1,211","1,123","1,122","1,098","1,045","1,139","1,021",987,927,"1,093","1,158",978,"1,108","1,076","1,121","1,008","1,121","1,836",W17
W18,"1,254","1,185","1,129","1,189","1,276","1,255","1,255","1,247","1,188","1,152","1,225","1,182","1,265","1,143","1,224","1,213","1,207","1,145","1,182","1,122","1,076","1,156","1,124","1,152","1,168",996,"1,052","1,082","1,130","1,147","1,042","1,066","1,088","1,076","1,126","1,086",940,"1,112","1,067","1,095","1,073","1,117","1,006","1,050","1,093","1,131","1,679",W18
W19,"1,190","1,139","1,152","1,168","1,214","1,240","1,198","1,235","1,272","1,205","1,163","1,223","1,118","1,072","1,273","1,091","1,142","1,146","1,091","1,169","1,116","1,080","1,060","1,132","1,058","1,025","1,035","1,040","1,017","1,020",995,"1,077","1,107",941,982,979,"1,006","1,093","1,050","1,012",989,"1,020","1,047","1,119",967,"1,018","1,435",W19
W20,"1,212","1,159","1,140","1,256","1,180","1,250","1,269","1,207","1,109","1,119","1,186","1,161","1,144","1,187","1,155","1,163","1,181","1,102","1,152","1,118","1,090","1,131","1,103","1,094","1,061","1,066","1,085","1,031","1,049","1,082","1,058",991,"1,101","1,028",968,971,"1,004",960,"1,098","1,075",997,"1,103","1,010","1,115",977,"1,115","1,421",W20
W21,"1,240","1,176","1,087","1,224","1,088","1,155","1,150","1,095","1,166","1,091","1,127","1,076","1,080","1,073","1,111","1,057","1,070","1,005","1,067","1,243","1,032","1,092","1,025","1,004","1,042","1,023",977,997,"1,031","1,008",985,"1,032",969,"1,021",946,960,903,993,"1,111",993,"1,009","1,039",994,"1,063","1,070","1,061","1,226",W21
W22,"1,158","1,165","1,150","1,159","1,268","1,267","1,207","1,224","1,116","1,213","1,161","1,161","1,204","1,166","1,243","1,196","1,206","1,186","1,127","1,190","1,173","1,116","1,207","1,110","1,122","1,073","1,062","1,123","1,099","1,158",996,"1,027","1,046","1,070","1,074",960,957,992,"1,110",954,938,"1,043",999,"1,015",998,"1,029","1,128",W22
W23,"1,186","1,205","1,081","1,114","1,124","1,176","1,174","1,149","1,029","1,179","1,094","1,102","1,130","1,179","1,154","1,217","1,165","1,123","1,162","1,125","1,066","1,053","1,069","1,036","1,052","1,032","1,041","1,005","1,057","1,067","1,066","1,049","1,057","1,021",992,960,977,"1,038",920,983,965,"1,106","1,023","1,076","1,033","1,042","1,093",W23
W24,"1,182","1,196","1,062","1,102","1,130","1,158","1,075","1,066","1,078","1,109","1,084","1,119","1,186","1,099","1,140","1,189","1,043","1,179","1,068","1,141","1,136","1,123","1,084","1,081","1,053","1,010","1,026","1,037","1,092","1,079","1,043",970,994,"1,002",977,935,966,960,"1,027",941,"1,006","1,038",988,"1,031",915,"1,028","1,034",W24
W25,"1,138","1,125","1,059","1,077","1,162","1,126","1,113","1,152","1,103","1,097","1,064","1,156","1,055","1,106","1,067","1,107","1,131","1,040","1,073","1,115","1,070","1,091","1,028","1,055","1,047","1,037","1,078","1,009","1,073","1,069",991,"1,060","1,003",977,972,954,969,983,984,"1,010",965,"1,025",994,"1,032",993,"1,053","1,065",W25
W26,"1,115","1,039","1,070","1,087","1,094","1,098","1,112","1,132","1,128","1,074","1,055","1,067","1,107","1,155","1,049","1,145","1,107","1,103","1,097","1,093","1,054","1,081","1,062","1,126","1,044","1,064","1,027","1,006","1,019","1,023","1,028",956,992,"1,046",967,917,972,964,"1,040",972,924,"1,032","1,007",994,"1,046","1,051","1,008",W26
W27,"1,118","1,109","1,134","1,122","1,113","1,177","1,072","1,144","1,103","1,109","1,093","1,174","1,123","1,076","1,107","1,144","1,079","1,077","1,076","1,103","1,081","1,083","1,099","1,046","1,020","1,040","1,014",973,996,"1,009","1,029",984,947,937,962,"1,011",941,"1,030","1,043",952,967,"1,040",988,"1,040","1,041",981,983,W27
W28,"1,054","1,068","1,117","1,019","1,157","1,076","1,077","1,120","1,073","1,200","1,064","1,024","1,060","1,079","1,044","1,058","1,122","1,031","1,110","1,079","1,023","1,032","1,027","1,018","1,059",958,"1,026","1,036","1,069",992,975,"1,020",957,987,955,880,983,"1,015",999,944,972,"1,011","1,022","1,014","1,002","1,077",976,W28
W29,"1,072","1,058","1,031","1,042","1,083","1,095","1,107","1,089","1,066","1,067","1,097","1,057","1,037","1,063","1,035",946,"1,023","1,055","1,079","1,022","1,026","1,119","1,092","1,030","1,064",983,"1,010",975,"1,001","1,016",991,984,"1,008",958,949,952,869,904,942,874,950,"1,023","1,041","1,025",928,964,"1,033",W29
W30,"1,081","1,040","1,009",994,"1,074","1,090","1,122","1,047","1,104","1,091",999,"1,101","1,063","1,046","1,096","1,165","1,043","1,021","1,018","1,033","1,045","1,053","1,045","1,034","1,042",991,953,"1,034",986,967,962,935,984,949,"1,017",918,869,882,992,936,957,956,979,978,933,"1,041",961,W30
W31,"1,115","1,042","1,116","1,042","1,092","1,185","1,121","1,038","1,059","1,019","1,025","1,061","1,041","1,086","1,031","1,033","1,091","1,014",989,"1,055","1,007","1,086","1,026",992,"1,018","1,003",901,"1,022","1,042",973,924,972,920,976,930,926,938,946,922,903,982,985,987,"1,011",969,"1,020","1,043",W31
