Date,Date_mod,deaths
2015M01D01,2015-01-01,161
2015M01D02,2015-01-02,188
2015M01D03,2015-01-03,166
2015M01D04,2015-01-04,133
2015M01D05,2015-01-05,158
2015M01D06,2015-01-06,150
2015M01D07,2015-01-07,166
2015M01D08,2015-01-08,172
2015M01D09,2015-01-09,158
2015M01D10,2015-01-10,142
2015M01D11,2015-01-11,162
2015M01D12,2015-01-12,178
2015M01D13,2015-01-13,149
2015M01D14,2015-01-14,178
2015M01D15,2015-01-15,165
2015M01D16,2015-01-16,148
2015M01D17,2015-01-17,131
2015M01D18,2015-01-18,144
2015M01D19,2015-01-19,158
2015M01D20,2015-01-20,149
2015M01D21,2015-01-21,141
2015M01D22,2015-01-22,154
2015M01D23,2015-01-23,174
2015M01D24,2015-01-24,157
2015M01D25,2015-01-25,135
2015M01D26,2015-01-26,139
2015M01D27,2015-01-27,160
2015M01D28,2015-01-28,149
2015M01D29,2015-01-29,153
2015M01D30,2015-01-30,168
2015M01D31,2015-01-31,159
2015M02D01,2015-02-01,158
2015M02D02,2015-02-02,178
2015M02D03,2015-02-03,158
2015M02D04,2015-02-04,151
2015M02D05,2015-02-05,147
2015M02D06,2015-02-06,175
2015M02D07,2015-02-07,156
2015M02D08,2015-02-08,153
2015M02D09,2015-02-09,158
2015M02D10,2015-02-10,165
2015M02D11,2015-02-11,155
2015M02D12,2015-02-12,151
2015M02D13,2015-02-13,160
2015M02D14,2015-02-14,167
2015M02D15,2015-02-15,150
2015M02D16,2015-02-16,158
2015M02D17,2015-02-17,152
2015M02D18,2015-02-18,146
2015M02D19,2015-02-19,167
2015M02D20,2015-02-20,189
2015M02D21,2015-02-21,164
2015M02D22,2015-02-22,155
2015M02D23,2015-02-23,172
2015M02D24,2015-02-24,177
2015M02D25,2015-02-25,150
2015M02D26,2015-02-26,170
2015M02D27,2015-02-27,161
2015M02D28,2015-02-28,165
2015M03D01,2015-03-01,182
2015M03D02,2015-03-02,166
2015M03D03,2015-03-03,173
2015M03D04,2015-03-04,160
2015M03D05,2015-03-05,188
2015M03D06,2015-03-06,161
2015M03D07,2015-03-07,188
2015M03D08,2015-03-08,174
2015M03D09,2015-03-09,171
2015M03D10,2015-03-10,159
2015M03D11,2015-03-11,195
2015M03D12,2015-03-12,169
2015M03D13,2015-03-13,178
2015M03D14,2015-03-14,153
2015M03D15,2015-03-15,159
2015M03D16,2015-03-16,162
2015M03D17,2015-03-17,165
2015M03D18,2015-03-18,168
2015M03D19,2015-03-19,145
2015M03D20,2015-03-20,153
2015M03D21,2015-03-21,139
2015M03D22,2015-03-22,154
2015M03D23,2015-03-23,152
2015M03D24,2015-03-24,162
2015M03D25,2015-03-25,160
2015M03D26,2015-03-26,156
2015M03D27,2015-03-27,164
2015M03D28,2015-03-28,146
2015M03D29,2015-03-29,153
2015M03D30,2015-03-30,138
2015M03D31,2015-03-31,152
2015M04D01,2015-04-01,146
2015M04D02,2015-04-02,157
2015M04D03,2015-04-03,140
2015M04D04,2015-04-04,147
2015M04D05,2015-04-05,164
2015M04D06,2015-04-06,117
2015M04D07,2015-04-07,165
2015M04D08,2015-04-08,164
2015M04D09,2015-04-09,152
