Area,Week,deaths
WHOLE COUNTRY,2015W01,1084
WHOLE COUNTRY,2015W02,1159
WHOLE COUNTRY,2015W03,1151
WHOLE COUNTRY,2015W04,1040
WHOLE COUNTRY,2015W05,1062
WHOLE COUNTRY,2015W06,1062
WHOLE COUNTRY,2015W07,1093
WHOLE COUNTRY,2015W08,1075
WHOLE COUNTRY,2015W09,1126
WHOLE COUNTRY,2015W10,1134
WHOLE COUNTRY,2015W11,1047
WHOLE COUNTRY,2015W12,1015
WHOLE COUNTRY,2015W13,1012
WHOLE COUNTRY,2015W14,1070
WHOLE COUNTRY,2015W15,1075
WHOLE COUNTRY,2015W16,1040
WHOLE COUNTRY,2015W17,1075
WHOLE COUNTRY,2015W18,1021
WHOLE COUNTRY,2015W19,1009
WHOLE COUNTRY,2015W20,926
WHOLE COUNTRY,2015W21,939
WHOLE COUNTRY,2015W22,947
WHOLE COUNTRY,2015W23,907
WHOLE COUNTRY,2015W24,927
WHOLE COUNTRY,2015W25,987
WHOLE COUNTRY,2015W26,924
WHOLE COUNTRY,2015W27,1016
WHOLE COUNTRY,2015W28,885
WHOLE COUNTRY,2015W29,902
WHOLE COUNTRY,2015W30,902
WHOLE COUNTRY,2015W31,883
WHOLE COUNTRY,2015W32,874
WHOLE COUNTRY,2015W33,956
WHOLE COUNTRY,2015W34,946
WHOLE COUNTRY,2015W35,957
WHOLE COUNTRY,2015W36,917
WHOLE COUNTRY,2015W37,966
WHOLE COUNTRY,2015W38,977
WHOLE COUNTRY,2015W39,938
WHOLE COUNTRY,2015W40,957
WHOLE COUNTRY,2015W41,982
WHOLE COUNTRY,2015W42,1025
WHOLE COUNTRY,2015W43,1045
WHOLE COUNTRY,2015W44,967
WHOLE COUNTRY,2015W45,967
WHOLE COUNTRY,2015W46,1005
WHOLE COUNTRY,2015W47,1054
WHOLE COUNTRY,2015W48,1069
WHOLE COUNTRY,2015W49,1082
WHOLE COUNTRY,2015W50,1060
WHOLE COUNTRY,2015W51,1019
WHOLE COUNTRY,2015W52,1106
WHOLE COUNTRY,2015W53,1103
WHOLE COUNTRY,2016W01,1184
WHOLE COUNTRY,2016W02,1192
WHOLE COUNTRY,2016W03,1249
WHOLE COUNTRY,2016W04,1186
WHOLE COUNTRY,2016W05,1183
WHOLE COUNTRY,2016W06,1167
WHOLE COUNTRY,2016W07,1047
WHOLE COUNTRY,2016W08,1046
WHOLE COUNTRY,2016W09,1075
WHOLE COUNTRY,2016W10,1023
WHOLE COUNTRY,2016W11,1041
WHOLE COUNTRY,2016W12,1095
WHOLE COUNTRY,2016W13,1097
WHOLE COUNTRY,2016W14,980
WHOLE COUNTRY,2016W15,1010
WHOLE COUNTRY,2016W16,1060
WHOLE COUNTRY,2016W17,968
WHOLE COUNTRY,2016W18,976
WHOLE COUNTRY,2016W19,947
WHOLE COUNTRY,2016W20,963
WHOLE COUNTRY,2016W21,1023
WHOLE COUNTRY,2016W22,980
WHOLE COUNTRY,2016W23,913
WHOLE COUNTRY,2016W24,947
WHOLE COUNTRY,2016W25,939
WHOLE COUNTRY,2016W26,995
WHOLE COUNTRY,2016W27,874
WHOLE COUNTRY,2016W28,940
WHOLE COUNTRY,2016W29,949
WHOLE COUNTRY,2016W30,952
WHOLE COUNTRY,2016W31,902
WHOLE COUNTRY,2016W32,919
WHOLE COUNTRY,2016W33,946
WHOLE COUNTRY,2016W34,1006
WHOLE COUNTRY,2016W35,991
WHOLE COUNTRY,2016W36,991
WHOLE COUNTRY,2016W37,922
WHOLE COUNTRY,2016W38,1012
WHOLE COUNTRY,2016W39,983
WHOLE COUNTRY,2016W40,986
WHOLE COUNTRY,2016W41,1074
WHOLE COUNTRY,2016W42,994
WHOLE COUNTRY,2016W43,1025
WHOLE COUNTRY,2016W44,1040
WHOLE COUNTRY,2016W45,1071
WHOLE COUNTRY,2016W46,1006
WHOLE COUNTRY,2016W47,1099
WHOLE COUNTRY,2016W48,1044
WHOLE COUNTRY,2016W49,1034
WHOLE COUNTRY,2016W50,1069
WHOLE COUNTRY,2016W51,1168
WHOLE COUNTRY,2016W52,1321
WHOLE COUNTRY,2017W01,1273
WHOLE COUNTRY,2017W02,1335
WHOLE COUNTRY,2017W03,1208
WHOLE COUNTRY,2017W04,1145
WHOLE COUNTRY,2017W05,1116
WHOLE COUNTRY,2017W06,1106
WHOLE COUNTRY,2017W07,1122
WHOLE COUNTRY,2017W08,1124
WHOLE COUNTRY,2017W09,1083
WHOLE COUNTRY,2017W10,1048
WHOLE COUNTRY,2017W11,1021
WHOLE COUNTRY,2017W12,1065
WHOLE COUNTRY,2017W13,985
WHOLE COUNTRY,2017W14,1059
WHOLE COUNTRY,2017W15,998
WHOLE COUNTRY,2017W16,1055
WHOLE COUNTRY,2017W17,1006
WHOLE COUNTRY,2017W18,1079
WHOLE COUNTRY,2017W19,1049
WHOLE COUNTRY,2017W20,999
WHOLE COUNTRY,2017W21,995
WHOLE COUNTRY,2017W22,980
WHOLE COUNTRY,2017W23,1014
WHOLE COUNTRY,2017W24,1021
WHOLE COUNTRY,2017W25,993
WHOLE COUNTRY,2017W26,993
WHOLE COUNTRY,2017W27,929
WHOLE COUNTRY,2017W28,921
WHOLE COUNTRY,2017W29,925
WHOLE COUNTRY,2017W30,944
WHOLE COUNTRY,2017W31,923
WHOLE COUNTRY,2017W32,954
WHOLE COUNTRY,2017W33,943
WHOLE COUNTRY,2017W34,906
WHOLE COUNTRY,2017W35,954
WHOLE COUNTRY,2017W36,1001
WHOLE COUNTRY,2017W37,1040
WHOLE COUNTRY,2017W38,940
WHOLE COUNTRY,2017W39,974
WHOLE COUNTRY,2017W40,1030
WHOLE COUNTRY,2017W41,964
WHOLE COUNTRY,2017W42,1024
WHOLE COUNTRY,2017W43,1024
WHOLE COUNTRY,2017W44,1034
WHOLE COUNTRY,2017W45,977
WHOLE COUNTRY,2017W46,966
WHOLE COUNTRY,2017W47,998
WHOLE COUNTRY,2017W48,988
WHOLE COUNTRY,2017W49,1014
WHOLE COUNTRY,2017W50,1056
WHOLE COUNTRY,2017W51,1112
WHOLE COUNTRY,2017W52,1103
WHOLE COUNTRY,2018W01,1072
WHOLE COUNTRY,2018W02,1091
WHOLE COUNTRY,2018W03,1083
WHOLE COUNTRY,2018W04,1131
WHOLE COUNTRY,2018W05,1186
WHOLE COUNTRY,2018W06,1110
WHOLE COUNTRY,2018W07,1143
WHOLE COUNTRY,2018W08,1173
WHOLE COUNTRY,2018W09,1247
WHOLE COUNTRY,2018W10,1223
WHOLE COUNTRY,2018W11,1251
WHOLE COUNTRY,2018W12,1216
WHOLE COUNTRY,2018W13,1154
WHOLE COUNTRY,2018W14,1243
WHOLE COUNTRY,2018W15,1096
WHOLE COUNTRY,2018W16,1110
WHOLE COUNTRY,2018W17,1027
WHOLE COUNTRY,2018W18,1023
WHOLE COUNTRY,2018W19,980
WHOLE COUNTRY,2018W20,973
WHOLE COUNTRY,2018W21,909
WHOLE COUNTRY,2018W22,926
WHOLE COUNTRY,2018W23,944
WHOLE COUNTRY,2018W24,921
WHOLE COUNTRY,2018W25,954
WHOLE COUNTRY,2018W26,946
WHOLE COUNTRY,2018W27,961
WHOLE COUNTRY,2018W28,986
WHOLE COUNTRY,2018W29,1060
WHOLE COUNTRY,2018W30,1047
WHOLE COUNTRY,2018W31,1063
WHOLE COUNTRY,2018W32,919
WHOLE COUNTRY,2018W33,984
WHOLE COUNTRY,2018W34,943
WHOLE COUNTRY,2018W35,947
WHOLE COUNTRY,2018W36,941
WHOLE COUNTRY,2018W37,907
WHOLE COUNTRY,2018W38,997
WHOLE COUNTRY,2018W39,1012
WHOLE COUNTRY,2018W40,1059
WHOLE COUNTRY,2018W41,1004
WHOLE COUNTRY,2018W42,982
WHOLE COUNTRY,2018W43,999
WHOLE COUNTRY,2018W44,1021
WHOLE COUNTRY,2018W45,1031
WHOLE COUNTRY,2018W46,983
WHOLE COUNTRY,2018W47,995
WHOLE COUNTRY,2018W48,1038
WHOLE COUNTRY,2018W49,1063
WHOLE COUNTRY,2018W50,1065
WHOLE COUNTRY,2018W51,1037
WHOLE COUNTRY,2018W52,1193
WHOLE COUNTRY,2019W01,1213
WHOLE COUNTRY,2019W02,1125
WHOLE COUNTRY,2019W03,1171
WHOLE COUNTRY,2019W04,1134
WHOLE COUNTRY,2019W05,1141
WHOLE COUNTRY,2019W06,1170
WHOLE COUNTRY,2019W07,1089
WHOLE COUNTRY,2019W08,1058
WHOLE COUNTRY,2019W09,1070
WHOLE COUNTRY,2019W10,1085
WHOLE COUNTRY,2019W11,1154
WHOLE COUNTRY,2019W12,1047
WHOLE COUNTRY,2019W13,1072
WHOLE COUNTRY,2019W14,1033
WHOLE COUNTRY,2019W15,1058
WHOLE COUNTRY,2019W16,1024
WHOLE COUNTRY,2019W17,1001
WHOLE COUNTRY,2019W18,1090
WHOLE COUNTRY,2019W19,972
WHOLE COUNTRY,2019W20,993
WHOLE COUNTRY,2019W21,927
WHOLE COUNTRY,2019W22,919
WHOLE COUNTRY,2019W23,1053
WHOLE COUNTRY,2019W24,934
WHOLE COUNTRY,2019W25,962
WHOLE COUNTRY,2019W26,895
WHOLE COUNTRY,2019W27,949
WHOLE COUNTRY,2019W28,983
WHOLE COUNTRY,2019W29,962
WHOLE COUNTRY,2019W30,1022
WHOLE COUNTRY,2019W31,922
WHOLE COUNTRY,2019W32,958
WHOLE COUNTRY,2019W33,923
WHOLE COUNTRY,2019W34,992
WHOLE COUNTRY,2019W35,966
WHOLE COUNTRY,2019W36,986
WHOLE COUNTRY,2019W37,990
WHOLE COUNTRY,2019W38,1007
WHOLE COUNTRY,2019W39,1047
WHOLE COUNTRY,2019W40,1050
WHOLE COUNTRY,2019W41,1090
WHOLE COUNTRY,2019W42,1052
WHOLE COUNTRY,2019W43,1081
WHOLE COUNTRY,2019W44,1101
WHOLE COUNTRY,2019W45,997
WHOLE COUNTRY,2019W46,1014
WHOLE COUNTRY,2019W47,970
