Date,deaths
1/1/20,2687
1/2/20,2814
1/3/20,2764
1/4/20,2770
1/5/20,2538
1/6/20,2674
1/7/20,2808
1/8/20,2841
1/9/20,2918
1/10/20,2890
1/11/20,2685
1/12/20,2619
1/13/20,2762
1/14/20,2840
1/15/20,2693
1/16/20,2885
1/17/20,2703
1/18/20,2697
1/19/20,2593
1/20/20,2644
1/21/20,2710
1/22/20,2694
1/23/20,2729
1/24/20,2844
1/25/20,2675
1/26/20,2646
1/27/20,2815
1/28/20,2898
1/29/20,2838
1/30/20,2773
1/31/20,2922
2/1/20,2804
2/2/20,2741
2/3/20,2739
2/4/20,2899
2/5/20,2691
2/6/20,2597
2/7/20,2753
2/8/20,2712
2/9/20,2622
2/10/20,2847
2/11/20,2833
2/12/20,2783
2/13/20,2791
2/14/20,2794
2/15/20,2808
2/16/20,2756
2/17/20,2812
2/18/20,2658
2/19/20,2729
2/20/20,2737
2/21/20,2662
2/22/20,2675
2/23/20,2657
2/24/20,2771
2/25/20,2799
2/26/20,2784
2/27/20,2729
2/28/20,2906
2/29/20,2824
3/1/20,2649
3/2/20,2841
3/3/20,2890
3/4/20,2796
3/5/20,2780
3/6/20,2897
3/7/20,2717
3/8/20,2707
3/9/20,2882
3/10/20,2873
3/11/20,2886
3/12/20,2843
3/13/20,2825
3/14/20,2803
3/15/20,2744
3/16/20,2916
3/17/20,2859
3/18/20,2931
3/19/20,2811
3/20/20,2868
3/21/20,2756
3/22/20,2573
3/23/20,2681
3/24/20,2720
3/25/20,2919
3/26/20,2834
3/27/20,2950
3/28/20,2944
3/29/20,2630
3/30/20,2885
3/31/20,2944
4/1/20,2985
4/2/20,3065
4/3/20,2974
4/4/20,2927
4/5/20,2850
4/6/20,3028
4/7/20,3045
4/8/20,3158
4/9/20,2965
4/10/20,2757
4/11/20,2785
4/12/20,2745
4/13/20,2678
4/14/20,2726
4/15/20,2738
4/16/20,2812
4/17/20,2917
4/18/20,2703
4/19/20,2665
4/20/20,2645
4/21/20,2729
4/22/20,2696
4/23/20,2748
4/24/20,2717
4/25/20,2535
4/26/20,2448
4/27/20,2621
4/28/20,2572
4/29/20,2761
4/30/20,2696
5/1/20,2488
5/2/20,2426
5/3/20,2305
5/4/20,2508
5/5/20,2504
5/6/20,2543
5/7/20,2525
5/8/20,2558
5/9/20,2551
5/10/20,2414
5/11/20,2455
5/12/20,2453
5/13/20,2512
5/14/20,2408
5/15/20,2455
5/16/20,2315
5/17/20,2343
5/18/20,2490
5/19/20,2521
5/20/20,2596
5/21/20,2413
5/22/20,2465
5/23/20,2372
5/24/20,2270
5/25/20,2422
5/26/20,2405
5/27/20,2412
5/28/20,2474
5/29/20,2403
5/30/20,2374
5/31/20,2228
6/1/20,2314
6/2/20,2515
6/3/20,2584
6/4/20,2678
6/5/20,2494
6/6/20,2368
