Week,Week ended,Year,,deaths
1,2-Jan-15,2015,,12286
2,9-Jan-15,2015,,16237
3,16-Jan-15,2015,,14866
4,23-Jan-15,2015,,13934
5,30-Jan-15,2015,,12900
6,6-Feb-15,2015,,12039
7,13-Feb-15,2015,,11822
8,20-Feb-15,2015,,11434
9,27-Feb-15,2015,,11472
10,6-Mar-15,2015,,11469
11,13-Mar-15,2015,,10951
12,20-Mar-15,2015,,10568
13,27-Mar-15,2015,,10493
14,3-Apr-15,2015,,9062
15,10-Apr-15,2015,,10089
16,17-Apr-15,2015,,11639
17,24-Apr-15,2015,,10599
18,1-May-15,2015,,10134
19,8-May-15,2015,,8862
20,15-May-15,2015,,10290
21,22-May-15,2015,,10005
22,29-May-15,2015,,8213
23,5-Jun-15,2015,,10157
24,12-Jun-15,2015,,9548
25,19-Jun-15,2015,,9312
26,26-Jun-15,2015,,9190
27,3-Jul-15,2015,,9205
28,10-Jul-15,2015,,9015
29,17-Jul-15,2015,,8802
30,24-Jul-15,2015,,8791
31,31-Jul-15,2015,,8617
32,7-Aug-15,2015,,8862
33,14-Aug-15,2015,,9148
34,21-Aug-15,2015,,9121
35,28-Aug-15,2015,,9026
36,4-Sep-15,2015,,7878
37,11-Sep-15,2015,,9258
38,18-Sep-15,2015,,9097
39,25-Sep-15,2015,,9529
40,2-Oct-15,2015,,9410
41,9-Oct-15,2015,,9776
42,16-Oct-15,2015,,9511
43,23-Oct-15,2015,,9711
44,30-Oct-15,2015,,9618
45,6-Nov-15,2015,,9994
46,13-Nov-15,2015,,9938
47,20-Nov-15,2015,,9830
48,27-Nov-15,2015,,9822
49,4-Dec-15,2015,,10365
50,11-Dec-15,2015,,10269
51,18-Dec-15,2015,,10689
52,25-Dec-15,2015,,8630
53,1-Jan-16,2016,,7524
1,8-Jan-16,2016,,13045
2,15-Jan-16,2016,,11501
3,22-Jan-16,2016,,11473
4,29-Jan-16,2016,,11317
5,5-Feb-16,2016,,11052
6,12-Feb-16,2016,,11170
7,19-Feb-16,2016,,10590
8,26-Feb-16,2016,,11056
9,4-Mar-16,2016,,11285
10,11-Mar-16,2016,,11010
11,18-Mar-16,2016,,11022
12,25-Mar-16,2016,,9635
13,1-Apr-16,2016,,10286
14,8-Apr-16,2016,,11599
15,15-Apr-16,2016,,11417
16,22-Apr-16,2016,,10925
17,29-Apr-16,2016,,10413
18,6-May-16,2016,,9137
19,13-May-16,2016,,10637
20,20-May-16,2016,,9953
21,27-May-16,2016,,9739
22,3-Jun-16,2016,,7909
23,10-Jun-16,2016,,9873
24,17-Jun-16,2016,,9386
25,24-Jun-16,2016,,9365
26,1-Jul-16,2016,,9228
27,8-Jul-16,2016,,9138
28,15-Jul-16,2016,,9388
29,22-Jul-16,2016,,9350
