Year,Week,deaths,,,
2020,1,2245,272,632,1341
2020,2,3364,432,967,1965
2020,3,3155,416,913,1826
2020,4,3045,352,936,1757
2020,5,3162,449,924,1789
2020,6,3193,400,981,1812
2020,7,3198,409,937,1852
2020,8,2958,340,869,1749
2020,9,3096,403,911,1782
2020,10,3104,392,889,1823
2020,11,3217,408,949,1860
2020,12,3615,450,1079,2086
2020,13,4459,502,1402,2555
2020,14,5084,498,1503,3083
2020,15,4979,483,1435,3061
2020,16,4300,426,1228,2646
2020,17,3907,454,1154,2299
2020,18,3378,443,999,1936
2020,19,2984,388,914,1682
2020,20,2773,373,832,1568
2020,21,2770,368,805,1597
2020,22,2725,366,857,1502
2020,23,2682,385,836,1461
2020,24,2691,407,835,1449
2020,25,2692,375,855,1462
2020,26,2659,381,828,1450
2020,27,2636,402,807,1427
2020,28,2616,388,812,1416
2020,29,2526,370,775,1381
2020,30,2670,408,821,1441
2020,31,2658,372,841,1445
2020,32,2634,417,819,1398
2020,33,3203,463,927,1813
2020,34,2836,411,856,1569
2020,35,2720,349,858,1513
2020,36,2668,408,821,1439
2020,37,2718,386,887,1445
2020,38,2683,387,830,1466
2020,39,2813,364,844,1605
2019,1,2606,341,715,1550
2019,2,3262,463,864,1935
2019,3,3152,396,928,1828
2019,4,3179,420,931,1828
2019,5,3139,438,944,1757
2019,6,3183,400,983,1800
2019,7,3254,405,915,1934
2019,8,3220,414,939,1867
2019,9,3065,400,877,1788
2019,10,3172,429,938,1805
2019,11,3225,414,979,1832
2019,12,3043,400,860,1783
2019,13,3013,396,893,1724
2019,14,2898,384,847,1667
2019,15,2902,403,889,1610
2019,16,3036,425,899,1712
2019,17,2956,367,859,1730
2019,18,2806,377,869,1560
2019,19,2772,378,821,1573
2019,20,2821,387,811,1623
2019,21,2873,404,810,1659
2019,22,2730,387,846,1497
2019,23,2734,417,805,1512
2019,24,2647,368,818,1461
2019,25,2692,365,865,1462
2019,26,2836,411,857,1568
2019,27,2725,385,866,1474
2019,28,2761,402,841,1518
2019,29,2586,402,816,1368
2019,30,3006,433,879,1694
2019,31,2731,379,857,1495
2019,32,2629,371,783,1475
2019,33,2613,360,837,1416
2019,34,2617,373,814,1430
2019,35,2783,383,905,1495
2019,36,2553,377,782,1394
2019,37,2642,380,847,1415
2019,38,2580,355,817,1408
2019,39,2751,395,861,1495
2019,40,2717,409,815,1493
2019,41,2912,411,945,1556
2019,42,2879,383,912,1584
2019,43,2867,402,935,1530
2019,44,2856,394,884,1578
2019,45,3015,467,852,1696
2019,46,3060,458,922,1680
2019,47,3023,389,925,1709
2019,48,3045,424,944,1677
2019,49,3018,407,918,1693
2019,50,3161,430,1021,1710
2019,51,3253,454,1000,1799
2019,52,3028,410,936,1682
2019,53,858,113,264,481
2018,1,3343,431,932,1980
2018,2,3359,406,926,2027
2018,3,3364,423,983,1958
2018,4,3322,408,936,1978
2018,5,3403,456,921,2026
2018,6,3513,443,970,2100
2018,7,3660,427,1070,2163
2018,8,3691,434,1047,2210
2018,9,3937,468,1111,2358
2018,10,4092,464,1114,2514
2018,11,3733,445,1045,2243
2018,12,3430,438,947,2045
2018,13,3225,411,897,1917
2018,14,3040,445,902,1693
2018,15,2860,402,846,1612
2018,16,2760,380,874,1506
2018,17,2663,400,829,1434
2018,18,2645,395,767,1483
2018,19,2641,371,758,1512
2018,20,2606,350,825,1431
2018,21,2674,391,797,1486
2018,22,2776,416,857,1503
2018,23,2679,399,825,1455
2018,24,2557,372,797,1388
2018,25,2601,362,803,1436
2018,26,2619,383,784,1452
2018,27,2726,406,838,1482
2018,28,2671,408,805,1458
