sex,Week,Deaths 2015,Deaths 2016,Deaths 2017,Deaths 2018,Deaths 2019,Deaths 2020
Both sexes,Week 1,937,870,1006,938,872,861
Both sexes,Week 2,977,864,1048,872,827,948
Both sexes,Week 3,913,939,928,945,811,836
Both sexes,Week 4,930,937,866,857,834,862
Both sexes,Week 5,911,881,914,881,889,815
Both sexes,Week 6,898,852,823,904,843,799
Both sexes,Week 7,866,826,845,927,914,857
Both sexes,Week 8,931,764,898,917,828,813
Both sexes,Week 9,925,873,863,907,819,838
Both sexes,Week 10,975,762,822,950,833,799
Both sexes,Week 11,836,798,804,867,836,824
Both sexes,Week 12,785,802,788,905,805,807
Both sexes,Week 13,795,759,756,807,790,855
Both sexes,Week 14,786,802,809,819,782,832
Both sexes,Week 15,795,773,776,827,757,840
Both sexes,Week 16,777,756,758,778,761,814
Both sexes,Week 17,749,755,816,781,800,775
Both sexes,Week 18,686,748,745,756,773,752
Both sexes,Week 19,729,711,733,738,772,741
Both sexes,Week 20,707,776,694,714,732,685
Both sexes,Week 21,780,713,735,692,741,740
Both sexes,Week 22,716,679,688,757,729,662
Both sexes,Week 23,758,669,724,713,707,677
Both sexes,Week 24,746,729,732,671,735,728
Both sexes,Week 25,712,725,757,703,724,738
Both sexes,Week 26,752,678,733,741,767,682
Both sexes,Week 27,721,756,756,776,736,694
Both sexes,Week 28,693,734,694,737,735,665
Both sexes,Week 29,722,685,749,721,742,748
Both sexes,Week 30,669,721,728,773,721,729
Both sexes,Week 31,663,709,691,678,727,741
Both sexes,Week 32,700,739,742,705,706,731
Both sexes,Week 33,698,717,704,694,733,727
Both sexes,Week 34,732,684,739,754,678,737
Both sexes,Week 35,720,723,730,715,779,683
Both sexes,Week 36,745,759,708,694,714,698
Both sexes,Week 37,712,714,704,705,707,741
Both sexes,Week 38,750,681,697,721,755,665
Both sexes,Week 39,709,740,713,712,820,0
Both sexes,Week 40,766,741,733,702,711,0
Both sexes,Week 41,752,731,764,714,787,0
Both sexes,Week 42,741,786,693,744,782,0
Both sexes,Week 43,752,773,793,696,794,0
Both sexes,Week 44,745,688,746,814,775,0
Both sexes,Week 45,748,810,704,776,785,0
Both sexes,Week 46,753,818,760,736,846,0
Both sexes,Week 47,745,855,791,720,784,0
Both sexes,Week 48,831,789,770,802,780,0
Both sexes,Week 49,804,819,832,822,851,0
Both sexes,Week 50,816,918,844,759,780,0
Both sexes,Week 51,786,923,897,802,773,0
Both sexes,Week 52,833,982,891,871,804,0
Both sexes,Week 53,851,0,0,0,0,0
