Week,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Week Number
W01,906,1577,1308,1514,1389,1541,1502,1268,1898,1545,1265,1303,1557,1239,1621,1457,1784,1375,1256,1556,1514,1318,1845,1483,1178,1838,2275,1308,1256,1177,1242,1244,1246,1345,1164,1245,1516,1344,1184,1201,1090,1146,1394,1205,1531,1104,1161,W01
W02,1425,1612,1555,1370,1353,1618,1476,1657,1834,1511,1353,1346,1924,1673,1361,1352,1551,1467,1473,1482,1457,1333,1728,1911,1655,1525,1930,1270,1417,1570,1857,1308,1297,1517,1334,1844,1387,1372,1298,1425,1313,1708,1305,1379,1899,1507,1567,W02
W03,1432,1437,1311,1337,1405,1469,1326,1317,1657,1403,1390,1451,1660,1371,1261,1270,1303,1291,1367,1369,1335,1304,1396,1712,1222,1541,1587,1319,1280,1354,1306,1181,1229,1452,1292,1333,1202,1244,1106,1265,1189,1489,1215,1224,1629,1353,1322,W03
W04,1345,1432,1286,1314,1473,1494,1446,1442,1513,1301,1388,1441,1625,1354,1347,1226,1332,1315,1274,1346,1279,1207,1308,1460,1168,1515,1329,1244,1207,1296,1282,1204,1068,1271,1180,1241,1132,1143,1075,1212,1137,1381,1187,1197,1610,1208,1226,W04
W05,1368,1435,1319,1335,1425,1408,1347,1325,1481,1331,1405,1460,1610,1260,1277,1229,1344,1272,1321,1198,1228,1228,1244,1388,1144,1493,1205,1205,1236,1256,1146,1168,1081,1252,1123,1176,1126,1099,1085,1282,1054,1286,1205,1332,1369,1206,1188,W05
W06,1292,1320,1481,1305,1414,1513,1390,1253,1382,1407,1317,1283,1466,1310,1231,1238,1210,1231,1354,1192,1232,1266,1238,1257,1235,1440,1130,1200,1226,1236,1208,1185,1113,1134,1195,1090,1129,1012,1059,1194,1107,1344,1217,1200,1265,1243,1216,W06
W07,1376,1397,1477,1311,1501,1471,1316,1296,1451,1399,1287,1335,1436,1305,1217,1218,1241,1372,1335,1260,1178,1256,1234,1276,1209,1408,1148,1217,1203,1224,1110,1218,1112,1178,1131,1183,1104,1089,1063,1113,1073,1360,1209,1231,1315,1181,1162,W07
W08,1315,1261,1645,1343,1684,1467,1248,1327,1514,1429,1255,1400,1490,1351,1245,1209,1199,1303,1259,1263,1233,1203,1225,1288,1281,1334,1135,1125,1178,1188,1097,1185,1074,1184,1078,1122,1122,1118,1121,1228,1081,1320,1239,1185,1245,1245,1162,W08
W09,1289,1330,1760,1291,1780,1417,1224,1397,1447,1519,1280,1363,1372,1232,1209,1287,1270,1283,1282,1260,1271,1204,1166,1252,1159,1244,1131,1138,1184,1202,1082,1209,1098,1085,1085,1104,1136,1021,1091,1108,1057,1308,1150,1219,1022,1125,1171,W09
W10,1305,1361,1770,1300,1620,1350,1201,1437,1523,1526,1286,1417,1421,1375,1216,1229,1194,1258,1172,1326,1167,1224,1129,1146,1259,1283,1146,1230,1209,1178,1083,1255,1188,1154,1118,1114,1079,1030,1034,1131,1044,1192,1174,1146,1475,1156,1208,W10
W11,1346,1269,1687,1296,1445,1387,1242,1369,1427,1369,1305,1349,1287,1272,1286,1271,1141,1253,1175,1315,1189,1250,1138,1139,1262,1195,1032,1164,1172,1150,1123,1303,1101,1075,1164,1059,1020,1034,1063,1120,1101,1201,1175,1141,1220,1108,1198,W11
W12,1397,1301,1626,1315,1196,1327,1251,1306,1328,1275,1305,1369,1242,1312,1228,1130,1157,1297,1257,1272,1144,1257,1139,1115,1220,1126,1042,1165,1195,1098,1155,1138,1084,1089,1017,990,1064,1113,1037,1118,997,1149,1042,1152,1158,1101,1196,W12
W13,1297,1258,1591,1247,1455,1348,1419,1407,1322,1168,1388,1391,1168,1336,1113,1315,1208,1043,1120,1314,1096,1233,1170,1009,1223,988,1082,1208,976,1089,1096,1221,1189,1086,1184,1009,926,1100,1004,1028,1037,1171,1172,1112,1050,1086,1079,W13
