Week,deaths
2020W37,7593
2020W36,7664
2020W35,7994
2020W34,7967
2020W33,8248
2020W32,8516
2020W31,8609
2020W30,7915
2020W29,7710
2020W28,7839
2020W27,7745
2020W26,7635
2020W25,7155
2020W24,6944
2020W23,7213
2020W22,7219
2020W21,7656
2020W20,7582
2020W19,8592
2020W18,8833
2020W17,10341
2020W16,13134
2020W15,17230
2020W14,20653
2020W13,19220
2020W12,12674
2020W11,9283
2020W10,8654
2020W09,8000
2020W08,8510
2020W07,8986
2020W06,9400
2020W05,9647
2020W04,9607
2020W03,10110
2020W02,9614
2020W01,8902
2019W52,8113
2019W51,8269
2019W50,8239
2019W49,7942
2019W48,8287
2019W47,8213
2019W46,8016
2019W45,7661
2019W44,7668
2019W43,7516
2019W42,7292
2019W41,7297
2019W40,6963
2019W39,7019
2019W38,6994
2019W37,6928
2019W36,6890
2019W35,6894
2019W34,6908
2019W33,7117
2019W32,7313
2019W31,7128
2019W30,7461
2019W29,7293
2019W28,7457
2019W27,8048
2019W26,7566
2019W25,7399
2019W24,7010
2019W23,7512
2019W22,7619
2019W21,7429
2019W20,7535
2019W19,7726
2019W18,7742
2019W17,7754
2019W16,7802
2019W15,8049
2019W14,8081
2019W13,8169
2019W12,8022
2019W11,8202
2019W10,8588
2019W09,8919
2019W08,9210
2019W07,9357
2019W06,9676
2019W05,9964
2019W04,10141
2019W03,10473
2019W02,10019
2019W01,9127
2018W52,8650
2018W51,8427
2018W50,8312
2018W49,8051
2018W48,7929
2018W47,7932
2018W46,7999
2018W45,8012
2018W44,7794
2018W43,7327
2018W42,7350
2018W41,7437
2018W40,7210
2018W39,7230
2018W38,7153
2018W37,6834
2018W36,6906
2018W35,6927
2018W34,7015
2018W33,7194
2018W32,8003
2018W31,7731
2018W30,7155
2018W29,7186
2018W28,7366
2018W27,7305
2018W26,7698
2018W25,7713
2018W24,7154
2018W23,7109
2018W22,7306
2018W21,7527
2018W20,7511
2018W19,7595
2018W18,7359
2018W17,7735
2018W16,8112
2018W15,8335
2018W14,8414
2018W13,8628
2018W12,8616
2018W11,8862
2018W10,9203
2018W09,9599
2018W08,9656
2018W07,10105
2018W06,10015
2018W05,9893
2018W04,10324
2018W03,10981
2018W02,10905
2018W01,11204
2017W52,10412
2017W51,9628
2017W50,9262
2017W49,8620
2017W48,8257
2017W47,8169
2017W46,8063
2017W45,7632
2017W44,7511
2017W43,7308
2017W42,7392
2017W41,7234
2017W40,7388
2017W39,7367
2017W38,7091
2017W37,6730
2017W36,6680
2017W35,7013
2017W34,7219
2017W33,7118
2017W32,7186
2017W31,7596
2017W30,7110
2017W29,7259
2017W28,7214
2017W27,7156
2017W26,7137
2017W25,7991
2017W24,7819
2017W23,7067
2017W22,7092
2017W21,7666
2017W20,7494
2017W19,7622
2017W18,7520
2017W17,7661
2017W16,7574
2017W15,7800
2017W14,7814
2017W13,7827
2017W12,7875
2017W11,7906
2017W10,8213
2017W09,8371
2017W08,8670
2017W07,9017
2017W06,9660
2017W05,10636
2017W04,11068
2017W03,11334
2017W02,11414
2017W01,10726
2016W52,9855
2016W51,8980
2016W50,8612
2016W49,8124
2016W48,8321
2016W47,8090
2016W46,8076
2016W45,7775
2016W44,7244
2016W43,7512
2016W42,7185
2016W41,7036
2016W40,7072
2016W39,7036
2016W38,6956
2016W37,6641
2016W36,7203
2016W35,7100
2016W34,7184
2016W33,7102
2016W32,7233
2016W31,7425
2016W30,7295
2016W29,7377
2016W28,7423
2016W27,7505
2016W26,7345
2016W25,7173
2016W24,7140
2016W23,7576
2016W22,7255
2016W21,7304
2016W20,7533
2016W19,7374
2016W18,7606
2016W17,7462
2016W16,7589
2016W15,7859
2016W14,7998
2016W13,8375
2016W12,8291
2016W11,8811
2016W10,8653
2016W09,8645
2016W08,8670
2016W07,8479
2016W06,8556
2016W05,8461
2016W04,8491
2016W03,8791
2016W02,8671
2016W01,8658
2015W53,8427
2015W52,8031
2015W51,8342
2015W50,8032
2015W49,8080
2015W48,7849
2015W47,7397
2015W46,7325
2015W45,7412
2015W44,7392
2015W43,7267
2015W42,7119
2015W41,7055
2015W40,6813
2015W39,6898
2015W38,6617
2015W37,6660
2015W36,6603
2015W35,6954
2015W34,6801
2015W33,7075
2015W32,7219
2015W31,7349
2015W30,7798
2015W29,8164
2015W28,8351
2015W27,8146
2015W26,7111
2015W25,6956
2015W24,7152
2015W23,7364
2015W22,7096
2015W21,7234
2015W20,7543
2015W19,7464
2015W18,7365
2015W17,7802
2015W16,7855
2015W15,7894
2015W14,8282
2015W13,8366
2015W12,8379
2015W11,8785
2015W10,9421
2015W09,10058
2015W08,10580
2015W07,10857
2015W06,10682
2015W05,11046
2015W04,10625
2015W03,10738
2015W02,10415
2015W01,9605
