DagMånad,Date,2015,2016,2017,2018,2019,2020,-,Sort,Dag,Månad
1 januari,1/1/20,295,245,339,275,300,254,,101,1,januari
2 januari,1/2/20,272,272,317,312,276,300,,102,2,januari
3 januari,1/3/20,281,293,310,295,271,256,,103,3,januari
4 januari,1/4/20,256,260,305,285,282,273,,104,4,januari
5 januari,1/5/20,268,260,304,291,275,265,,105,5,januari
6 januari,1/6/20,256,246,304,268,281,285,,106,6,januari
7 januari,1/7/20,309,270,313,272,280,246,,107,7,januari
8 januari,1/8/20,294,292,296,260,274,292,,108,8,januari
9 januari,1/9/20,272,276,288,274,239,277,,109,9,januari
10 januari,1/10/20,285,256,304,287,254,253,,110,10,januari
11 januari,1/11/20,282,271,322,269,269,263,,111,11,januari
12 januari,1/12/20,287,300,298,283,250,274,,112,12,januari
13 januari,1/13/20,262,249,311,299,254,241,,113,13,januari
14 januari,1/14/20,272,260,290,269,262,267,,114,14,januari
15 januari,1/15/20,299,270,309,291,284,254,,115,15,januari
16 januari,1/16/20,287,274,306,295,260,254,,116,16,januari
17 januari,1/17/20,265,290,304,267,262,244,,117,17,januari
18 januari,1/18/20,263,275,296,268,261,303,,118,18,januari
19 januari,1/19/20,275,276,297,281,250,265,,119,19,januari
20 januari,1/20/20,265,308,295,273,260,231,,120,20,januari
21 januari,1/21/20,283,276,281,270,255,241,,121,21,januari
22 januari,1/22/20,308,255,281,279,266,265,,122,22,januari
23 januari,1/23/20,278,269,288,270,247,236,,123,23,januari
24 januari,1/24/20,259,299,253,280,274,251,,124,24,januari
25 januari,1/25/20,278,316,304,288,263,253,,125,25,januari
26 januari,1/26/20,261,277,257,258,290,253,,126,26,januari
27 januari,1/27/20,269,286,276,278,233,260,,127,27,januari
28 januari,1/28/20,276,275,263,275,234,276,,128,28,januari
29 januari,1/29/20,292,309,269,274,253,274,,129,29,januari
30 januari,1/30/20,300,267,256,243,270,269,,130,30,januari
31 januari,1/31/20,288,276,265,249,245,247,,131,31,januari
1 februari,2/1/20,289,250,293,270,276,276,,201,1,februari
2 februari,2/2/20,279,262,293,260,244,245,,202,2,februari
3 februari,2/3/20,264,300,281,270,290,241,,203,3,februari
4 februari,2/4/20,254,267,256,288,293,242,,204,4,februari
5 februari,2/5/20,255,261,239,291,285,242,,205,5,februari
6 februari,2/6/20,269,266,247,288,250,258,,206,6,februari
7 februari,2/7/20,284,303,258,297,239,242,,207,7,februari
8 februari,2/8/20,263,260,298,262,265,244,,208,8,februari
9 februari,2/9/20,281,281,278,260,268,258,,209,9,februari
10 februari,2/10/20,278,246,288,292,282,273,,210,10,februari
11 februari,2/11/20,288,296,225,293,258,256,,211,11,februari
12 februari,2/12/20,326,257,287,273,268,273,,212,12,februari
13 februari,2/13/20,267,258,278,310,272,246,,213,13,februari
14 februari,2/14/20,266,239,280,293,263,266,,214,14,februari
15 februari,2/15/20,295,257,270,295,222,258,,215,15,februari
16 februari,2/16/20,296,249,287,309,253,253,,216,16,februari
17 februari,2/17/20,296,279,305,279,228,268,,217,17,februari
18 februari,2/18/20,304,244,297,265,248,259,,218,18,februari
19 februari,2/19/20,290,268,293,301,293,264,,219,19,februari
20 februari,2/20/20,337,279,292,291,261,256,,220,20,februari
21 februari,2/21/20,288,262,310,331,265,227,,221,21,februari
22 februari,2/22/20,296,255,294,303,273,260,,222,22,februari
23 februari,2/23/20,293,272,317,319,242,242,,223,23,februari
24 februari,2/24/20,322,266,281,287,238,264,,224,24,februari
25 februari,2/25/20,323,272,284,284,278,262,,225,25,februari
26 februari,2/26/20,303,261,291,335,241,258,,226,26,februari
27 februari,2/27/20,296,263,254,301,241,255,,227,27,februari
28 februari,2/28/20,265,256,299,304,258,232,,228,28,februari
29 februari,2/29/20,0,243,0,0,0,244,,229,29,februari
1 mars,3/1/20,274,231,318,330,268,263,,301,1,mars
2 mars,3/2/20,295,249,274,303,262,238,,302,2,mars
