Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/25/20,2/1/20,2/1/20,By week,United States,Week-ending,0.00,58580.00,0.99,3796.00,0.00,479.00,4275.00,
9/25/20,2/8/20,2/8/20,By week,United States,Week-ending,1.00,59299.00,0.99,3798.00,0.00,521.00,4320.00,
9/25/20,2/15/20,2/15/20,By week,United States,Week-ending,0.00,58703.00,1.00,3827.00,0.00,559.00,4386.00,
9/25/20,2/22/20,2/22/20,By week,United States,Week-ending,5.00,58738.00,1.01,3699.00,1.00,565.00,4268.00,
9/25/20,2/29/20,2/29/20,By week,United States,Week-ending,9.00,59176.00,1.03,3822.00,5.00,654.00,4480.00,
9/25/20,3/7/20,3/7/20,By week,United States,Week-ending,35.00,59565.00,1.03,3959.00,17.00,632.00,4608.00,
9/25/20,3/14/20,3/14/20,By week,United States,Week-ending,53.00,58531.00,1.03,3961.00,28.00,625.00,4610.00,
9/25/20,3/21/20,3/21/20,By week,United States,Week-ending,571.00,59094.00,1.04,4538.00,252.00,560.00,5410.00,
9/25/20,3/28/20,3/28/20,By week,United States,Week-ending,3154.00,62893.00,1.13,6168.00,1425.00,442.00,8289.00,
9/25/20,4/4/20,4/4/20,By week,United States,Week-ending,10014.00,72149.00,1.29,9906.00,4752.00,478.00,15411.00,
9/25/20,4/11/20,4/11/20,By week,United States,Week-ending,16173.00,78900.00,1.42,11984.00,7223.00,474.00,21068.00,
9/25/20,4/18/20,4/18/20,By week,United States,Week-ending,17055.00,76565.00,1.42,11381.00,7299.00,266.00,21214.00,
9/25/20,4/25/20,4/25/20,By week,United States,Week-ending,15423.00,73645.00,1.37,10355.00,6592.00,144.00,19233.00,
9/25/20,5/2/20,5/2/20,By week,United States,Week-ending,13134.00,69050.00,1.29,8925.00,5506.00,65.00,16598.00,
9/25/20,5/9/20,5/9/20,By week,United States,Week-ending,11161.00,66613.00,1.26,7820.00,4703.00,47.00,14315.00,
9/25/20,5/16/20,5/16/20,By week,United States,Week-ending,9156.00,64256.00,1.22,6747.00,3769.00,21.00,12152.00,
9/25/20,5/23/20,5/23/20,By week,United States,Week-ending,7151.00,61358.00,1.18,5858.00,2954.00,24.00,10074.00,
9/25/20,5/30/20,5/30/20,By week,United States,Week-ending,6101.00,59404.00,1.15,5248.00,2472.00,12.00,8889.00,
9/25/20,6/6/20,6/6/20,By week,United States,Week-ending,4983.00,58587.00,1.12,4864.00,2134.00,11.00,7724.00,
9/25/20,6/13/20,6/13/20,By week,United States,Week-ending,4185.00,57698.00,1.11,4508.00,1853.00,11.00,6848.00,
9/25/20,6/20/20,6/20/20,By week,United States,Week-ending,3794.00,57562.00,1.11,4334.00,1593.00,7.00,6541.00,
9/25/20,6/27/20,6/27/20,By week,United States,Week-ending,3758.00,58051.00,1.13,4217.00,1542.00,11.00,6443.00,
9/25/20,7/4/20,7/4/20,By week,United States,Week-ending,4435.00,59233.00,1.14,4499.00,1968.00,4.00,6967.00,
9/25/20,7/11/20,7/11/20,By week,United States,Week-ending,5635.00,61088.00,1.19,5446.00,2667.00,9.00,8423.00,
9/25/20,7/18/20,7/18/20,By week,United States,Week-ending,6996.00,61987.00,1.22,6053.00,3383.00,12.00,9675.00,
9/25/20,7/25/20,7/25/20,By week,United States,Week-ending,7960.00,62432.00,1.23,6557.00,3858.00,10.00,10664.00,
9/25/20,8/1/20,8/1/20,By week,United States,Week-ending,7953.00,61525.00,1.21,6543.00,3905.00,13.00,10597.00,
9/25/20,8/8/20,8/8/20,By week,United States,Week-ending,7437.00,61359.00,1.20,6489.00,3779.00,9.00,10153.00,
9/25/20,8/15/20,8/15/20,By week,United States,Week-ending,6729.00,60185.00,1.18,6102.00,3446.00,5.00,9387.00,
9/25/20,8/22/20,8/22/20,By week,United States,Week-ending,5678.00,57259.00,1.13,5414.00,2889.00,9.00,8209.00,
9/25/20,8/29/20,8/29/20,By week,United States,Week-ending,4847.00,53947.00,1.05,4787.00,2465.00,11.00,7175.00,
9/25/20,9/5/20,9/5/20,By week,United States,Week-ending,3641.00,49180.00,0.96,4021.00,1834.00,7.00,5832.00,
9/25/20,9/12/20,9/12/20,By week,United States,Week-ending,2243.00,41248.00,0.79,2946.00,1099.00,4.00,4093.00,
9/25/20,9/19/20,9/19/20,By week,United States,Week-ending,606.00,23326.00,0.45,1273.00,288.00,0.00,1591.00,
9/25/20,2/1/20,2/1/20,By week,Alabama,Week-ending,0,"1,024",0.94,56,0,14,70,
9/25/20,2/8/20,2/8/20,By week,Alabama,Week-ending,0,"1,117",1.01,61,0,10,71,
9/25/20,2/15/20,2/15/20,By week,Alabama,Week-ending,0,"1,093",1.01,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Alabama,Week-ending,0,"1,096",1.01,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Alabama,Week-ending,0,"1,161",1.12,63,0,14,77,
9/25/20,3/7/20,3/7/20,By week,Alabama,Week-ending,0,"1,053",1.01,58,0,13,71,
9/25/20,3/14/20,3/14/20,By week,Alabama,Week-ending,0,"1,086",1,61,0,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Alabama,Week-ending,,"1,056",1.03,71,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Alabama,Week-ending,23,"1,070",1.05,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Alabama,Week-ending,49,"1,151",1.12,65,11,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Alabama,Week-ending,81,"1,130",1.1,86,27,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Alabama,Week-ending,89,"1,137",1.16,94,26,0,157,
9/25/20,4/25/20,4/25/20,By week,Alabama,Week-ending,83,"1,132",1.13,77,19,,142,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Alabama,Week-ending,81,"1,147",1.16,87,26,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Alabama,Week-ending,115,"1,161",1.15,94,34,,175,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,Alabama,Week-ending,93,"1,141",1.14,88,29,,153,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,Alabama,Week-ending,78,"1,141",1.16,82,23,0,137,
9/25/20,5/30/20,5/30/20,By week,Alabama,Week-ending,103,"1,097",1.13,95,30,,169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,Alabama,Week-ending,88,"1,157",1.15,87,32,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/13/20,6/13/20,By week,Alabama,Week-ending,81,"1,130",1.19,74,29,0,126,
9/25/20,6/20/20,6/20/20,By week,Alabama,Week-ending,88,"1,074",1.1,78,25,0,141,
9/25/20,6/27/20,6/27/20,By week,Alabama,Week-ending,100,"1,135",1.22,81,30,0,151,
9/25/20,7/4/20,7/4/20,By week,Alabama,Week-ending,120,"1,183",1.2,92,47,,165,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,Alabama,Week-ending,133,"1,240",1.25,94,36,0,191,
9/25/20,7/18/20,7/18/20,By week,Alabama,Week-ending,186,"1,260",1.31,100,45,0,241,
9/25/20,7/25/20,7/25/20,By week,Alabama,Week-ending,244,"1,300",1.39,133,87,0,290,
9/25/20,8/1/20,8/1/20,By week,Alabama,Week-ending,260,"1,330",1.38,156,94,,323,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/8/20,8/8/20,By week,Alabama,Week-ending,251,"1,311",1.35,129,84,,297,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,Alabama,Week-ending,214,"1,235",1.3,135,80,0,269,
9/25/20,8/22/20,8/22/20,By week,Alabama,Week-ending,191,"1,192",1.28,106,57,0,240,
9/25/20,8/29/20,8/29/20,By week,Alabama,Week-ending,157,"1,043",1.09,115,65,0,207,
9/25/20,9/5/20,9/5/20,By week,Alabama,Week-ending,115,954,0.98,86,43,0,158,
9/25/20,9/12/20,9/12/20,By week,Alabama,Week-ending,71,747,0.78,64,22,0,113,
9/25/20,9/19/20,9/19/20,By week,Alabama,Week-ending,26,355,0.37,21,,0,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Alaska,Week-ending,0,85,0.95,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Alaska,Week-ending,0,95,1.27,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Alaska,Week-ending,0,89,1.02,0,0,0,0,
9/25/20,2/22/20,2/22/20,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Alaska,Week-ending,0,84,1,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Alaska,Week-ending,0,79,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,Alaska,Week-ending,0,92,1.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Alaska,Week-ending,0,69,0.87,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Alaska,Week-ending,,86,1,10,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Alaska,Week-ending,,98,1.13,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Alaska,Week-ending,,83,0.96,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Alaska,Week-ending,,80,1.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Alaska,Week-ending,0,62,0.79,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Alaska,Week-ending,0,87,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Alaska,Week-ending,,89,1.14,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,Alaska,Week-ending,0,82,1.06,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,Alaska,Week-ending,0,80,1.04,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/30/20,5/30/20,By week,Alaska,Week-ending,0,97,1.34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,Alaska,Week-ending,0,77,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
