"","location_name","excess2","excess20","excess24","excesssens1","excesssens2","total2","total20","total24","totalsens1","totalsens2"
"1","Norway","-2.6","-4.3","-2.1","-4.1","-3.6","235,610 (100)","102,598 (44)","63,952 (27)","117,245 (50)","133,496 (57)"
"2","Denmark","5.1","1.9","1.8","2.2","2.3","218,664 (93)","96,375 (41)","57,910 (25)","110,047 (47)","126,049 (53)"
"3","Israel","8","7.5","5.4","10.8","5.9","209,376 (89)","77,932 (33)","46,091 (20)","81,601 (35)","113,936 (48)"
"4","Germany","10","1.4","-0.2","2.9","1.4","202,547 (86)","97,905 (42)","63,952 (27)","107,803 (46)","128,803 (55)"
"5","Canada","13.3","-3.7","-7.6","-1.5","-5.3","192,009 (81)","102,598 (44)","63,952 (27)","117,245 (50)","133,496 (57)"
"6","Switzerland","17","-3.6","-2.7","-3.5","-3.6","179,545 (76)","102,598 (44)","63,952 (27)","117,245 (50)","133,496 (57)"
"7","Austria","17.1","3.2","1.4","4.3","2.9","179,208 (76)","92,042 (39)","59,375 (25)","103,159 (44)","123,905 (53)"
"8","Finland","19.1","8.7","5.4","11.8","6.3","172,706 (73)","74,116 (31)","46,264 (20)","78,517 (33)","112,624 (48)"
"9","Sweden","50.8","14.9","3.7","26.1","14.9","68,540 (29)","53,429 (23)","51,864 (22)","31,419 (13)","84,327 (36)"
"10","France","51.5","5.9","2.6","8.2","6.9","66,167 (28)","83,301 (35)","55,512 (24)","90,374 (38)","110,919 (47)"
"11","Netherlands","55.1","0.1","-0.7","5.1","0.1","54,282 (23)","102,157 (43)","63,952 (27)","100,603 (43)","133,054 (56)"
"12","Belgium","67.8","-4.6","-6.4","2.4","-4.6","12,638 (5)","102,598 (44)","63,952 (27)","109,253 (46)","133,496 (57)"
"13","United Kingdom","94.5","13.7","-1.2","32.1","13.7","-75,196 (-32)","57,659 (24)","63,952 (27)","11,769 (5)","88,557 (38)"
"14","Spain","102.2","2.1","1.8","7.1","4.3","-100,768 (-43)","95,784 (41)","57,948 (25)","93,952 (40)","119,420 (51)"
"15","United States of America","71.6","31.2","19.4","35.6","40.6","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
